concept_id,name
1168,MTCT-plus
1169,HIV infected
1170,Spontaneous vaginal delivery
1171,Caesarean section
1172,Breech delivery
1173,Expressed breastmilk
1174,Orphan
1175,NOT applicable
1176,Partum antiretroviral use
1177,Partum dosing period
1178,Antepartum
1179,Intrapartum
1180,Postpartum
1181,Antiretroviral dose quantification
1182,One dose
1183,Two doses
1184,More than two doses
1185,Treatment
1186,Number of weeks on treatment
1187,Newborn antiretroviral use
1188,Tachypnea duration
1189,"Review of systems, developmental"
1190,Historical drug start date
1191,Historical drug stop date
1192,Antiretroviral use
1193,Current drugs used
1194,Rifampicin and isoniazid
1195,Antibiotics
1196,Number of doses received before enrollment
1197,Vaccinations
1198,Previous immunizations administered
1199,Asymmetric reflexes
1200,Developmental exam findings
1201,CDC category A
1202,CDC category B
1203,CDC category C
1204,WHO stage I adult
1205,WHO stage II adult
1206,WHO stage III adult
1207,WHO stage IV adult
1208,Peds CDC specific condition query
1209,Peds CDC category query
1210,"Parotid enlargement, persistent unexplained"
1211,Wart virus infection
1212,Molluscum contagiosum
1213,Human papillomavirus
1214,Steroid resistant thrombocytopenia
1215,"Bacterial pneumonia, severe recurrent"
1216,Nonresponsive herpes simplex virus
1217,Refractory anemia
1218,Rectovaginal fistula
1219,Cryptococcosis
1220,WHO stage I peds
1221,WHO stage II peds
1222,WHO stage III peds
1223,WHO stage IV peds
1224,Peds WHO category query
1225,Peds WHO specific condition query
1226,"Anemia, iron deficiency"
1227,Augmentin
1228,Reactive
1229,Non-reactive
1230,AB positive
1231,AB negative
1232,Left upper extremity
1233,Right upper extremity
1234,Left lower extremity
1235,Right lower extremity
1236,Lower extremities
1237,Upper extremities
1238,Medical record observations
1239,Anatomic locations
1240,Beclomethasone
1241,Valacyclovir
1242,Enalapril
1243,Hydrochlorothiazide
1244,Omeprazole
1245,Ampath med kit
1246,Scheduled visit
1247,Cryptococcus treatment adherence in past week
1248,New who/cdc staging criteria met
1249,Previous diagnosis comments
1250,Antiretrovirals started
1251,Reason antiretrovirals started
1252,Reason antiretrovirals changed or stopped
1253,Completed total PMTCT
1254,CD4 count greater than 200
1255,Antiretroviral plan
1256,Start drugs
1257,Continue regimen
1258,Change formulation
1259,Change regimen
1260,Stop all
1261,PCP prophylaxis plan
1262,Reason PCP prophylaxis stopped
1263,PCP prophylaxis started
1264,Tuberculosis prophylaxis started
1265,Tuberculosis prophylaxis plan
1266,Reason tuberculosis prophylaxis stopped
1267,Completed
1268,Tuberculosis treatment plan
1269,Reason tuberculosis treatment changed or stopped
1270,Tuberculosis treatment started
1271,Tests ordered
1272,Referrals ordered
1273,Patient hospitalized
1274,Moi teaching and referral hospital
1275,Health center hospitals
1276,Medication received at vist
1277,Cryptococcal treatment plan
1278,Cryptocossus treatment started
1279,Number of weeks pregnant
1280,Previous immunizations not administered
1281,Medication history
1282,Medication orders
1283,Laboratory orders
1284,Problem list
1285,Transfer care to other center
1286,Ampath
1287,Non-ampath
1288,Alcohol counseling
1289,Antiretroviral medication history
1292,Functional review of symptoms construct
1293,Symptom present
1294,Duration of symptom in days
1295,Adverse effect construct
1296,Adverse effect medication
1297,Adverse effect
1298,Angio-edema
1299,Adverse effect comment
1300,Adverse effect date
1301,Mode of transport comment
1302,Multiple sexual partners locally
1303,Location of distant sexual partners
1304,Main activity
1305,Commerce
1306,Farmer
1307,Student
1308,Trading
1309,Unemployed
1310,Nutrition evaluation
1311,Malnutrition M1
1312,Malnutrition M2
1313,Malnutrition M3
1314,Housing construct
1315,Floor material
1316,Cement
1317,Beaten earth
1318,Patient owns radio
1319,Roof material
1320,Sheet metal
1321,Thatch
1322,Toilet
1323,Number of people who live in house including patient
1324,Number of rooms in house
1325,Patient contacts construct
