drug_id,name,units
387,Chloremphenicol eye drops 0.5%,drop(s)
388,Chlorhexadine 1.5% solution,ml
389,Erythromycin (60mg/5ml suspension),ml
390,Fluorescein sodium eye drops 1% (Minims),drop(s)
391,"Glycerine suppositories (adult), 4g",item
392,"Glycerine suppositories (child), 2g",item
393,Halofantrine suspension 100mg/5ml,ml
394,"Iodine solution, weak (iodine tincture)",application
395,Ketoconazole suspension 100mg/5ml,ml
396,Salicylic acid ointment 5% (in YSP base),application
397,Salicylic acid ointment 5% (in EO base),application
398,Zinc oxide 15% ointment (in EO base),application
399,Zinc oxide 15% ointment + sulphur 5%,application
400,Zinc paste compount + sulphur 5%,application
401,Soluble Insulin,unit(s)
402,Amitriptyline (50mg tablet),
403,Lisinopril (10mg tablet),tab(s)
404,Lisinopril (20mg tablet),tab(s)
405,Amlodipine (5mg tablet),tab(s)
406,Amlodipine (10mg tablet),tab(s)
407,Propanolol (40mg tablet),tab(s)
408,Propanolol (80mg),tab(s)
409,Acyclovir (800mg tablet),tab(s)
410,Chloramphenicol (500mg),tab(s)
411,Flucloxacillin (500mg),tab(s)
412,Fluconazole (400mg),tab(s)
413,Fluconazole (50mg),tab(s)
414,Fluconazole (800mg),tab(s)
415,Atavaquone (750 mg),tab(s)
416,Beclomethasone Inhaler,
417,Bisacodyl (10mg),tab(s)
418,Captopril,
419,Clindamycin (300mg),tab(s)
420,Clotrimazole pessaries,
421,Codeine (30mg),tab(s)
422,Cotrimoxazole (1920mg),tab(s)
423,Cotrimoxazole (960mg),tab(s)
424,Dapsone,
425,Diazepam,
426,Digoxin,
427,Fefol (450 mg),tab(s)
428,Frusemide (80 mg),tab(s)
429,Ibuprofen (800mg),tab(s)
430,Indomethacin (400mg),tab(s)
431,Isosorbide Dinitrate (20mg),tab(s)
432,Isosorbide Mononitrate (20mg),tab(s)
433,Loperamide (4mg),tab(s)
434,Magnesium Trisilicate (500mg),tab(s)
435,Metronidazole (2g),g
436,Metronidazole (400mg),tab(s)
437,Miconazole gum patch,tablet
438,Morphine Sulphate Tablets (10mg),tab(s)
439,Multivitamin,
440,Nalidixic acid (500mg),tab(s)
441,Nystatin pessaries,
442,Omeprazole (40mg),tab(s)
443,ORS,
444,Paracetamol (1g),g
445,Praziquantel (1200 mg),tab(s)
446,Prednisolone (40mg),tab(s)
447,Prednisolone (60mg),tab(s)
448,Prednisolone (20 mg),tab(s)
449,Primaquine (30mg),tab(s)
450,Propanolol,
451,Quinine (600mg),tab(s)
452,Salbutamol Inhaler,
453,Trimethoprim,
454,Tetanus Immuno Globulin,
455,Tetanus Toxoid Vaccine,ml
456,TD (0.5ml),ml
457,2SRHZ+7RH,
458,2RHZE+4RH,
459,2SRHZE+1RHZE/5RHE,
460,d4T/3TC/NVP (30/150/200mg tablet),tab(s)
461,AZT/3TC/NVP,
462,Therapeutic feeding,
463,Allopurinol (200mg tablet),tab(s)
464,Allopurinol (300mg tablet),tab(s)
465,Amitriptyline (75mg tablet),tab(s)
466,Amoxicillin (500mg),tab(s)
467,Aspirin (600mg tablet),tab(s)
468,Benzhexol (1mg tablet),tab(s)
469,Benzhexol (2mg tablet),tab(s)
470,Benzhexol (4mg tablet),tab(s)
471,Carbamazepine (100mg tablet),tab(s)
472,Carbamazepine (300mg tablet),tab(s)
473,Carbamazepine (400mg tablet),tab(s)
474,Carbimazole (10mg tablet),tab(s)
475,Carbimazole (15mg tablet),tab(s)
476,Carbimazole (20mg tablet),tab(s)
477,Carbimazole (30mg tablet),tab(s)
478,Carbimazole (40mg tablet),tab(s)
479,Chloramphenicol (1g tablet),g
480,Chlorpromazine (75mg tablet),tab(s)
481,Chlorpromazine (200mg tablet),tab(s)
482,Cimetidine (800mg tablet),tab(s)
483,Codeine phosphate (30mg tablet),tab(s)
484,Codeine phosphate (60mg tablet),tab(s)
485,Diazepam (10mg tablet),tab(s)
486,Diclofenac Sodium (100mg tablet),tab(s)
487,Digoxin (0.125mg tablet),tab(s)
488,Digoxin (0.5mg tablet),tab(s)
489,Doxycycline (200mg tablet),tab(s)
490,Erythromycin (500mg tablet),tab(s)
491,Ferrous sulphate (1 tablet),tablet
492,Frusemide (120mg tablet),tab(s)
493,Frusemide (160mg tablet),tab(s)
494,Hydralazine (50mg tablet),tab(s)
495,Hydrochlorothiazide (50mg tablet),tab(s)
496,Hydrocortisone (10mg tablet),tab(s)
497,Hydrocortisone (30mg tablet),tab(s)
498,Indomethacin (50mg tablet),tab(s)
499,Lisinopril (5mg tablet),tab(s)
500,Lisinopril (2.5mg tablet),tab(s)
501,Loperamide (2mg),tab(s)
502,Mebendazole (400mg tablet),tab(s)
503,Morphine sulphate (15mg (slow release)),tab(s)
504,Penicillin V (1g),g
505,Phenobarbitone (60mg) ,tab(s)
506,Phenobarbitone (90 mg) ,tab(s)
507,Phenobarbitone (120 mg) ,tab(s)
508,Phenytoin sodium (150mg tablet),tab(s)
509,Phenytoin sodium (300mg tablet),tab(s)
510,Potassium chloride (Slow K (25 mmol)),mmol
511,Potassium chloride (Slow K (50 mmol)),mmol
512,Praziquantel (1800 mg),tab(s)
513,Praziquantel (2400 mg),tab(s)
514,Propantheline bromide(30mg),tab(s)
515,Quinapril (10mg),tab(s)
516,Quinapril (30mg),tab(s)
517,Sodium Valproate (60mg),tab(s)
518,Spironolactone (50mg) ,tab(s)
519,Spironolactone (100mg) ,tab(s)
520,SP (1 tablet),tablet
521,SP (2 tablets),tablets
522,SP (3 tablets),tablets
523,Tramadol (100mg),tab(s)
524,Vitamin B complex (1 tablet),tablet
525,Adrenaline injection,tab(s)
526,Aminophylline injection,tab(s)
527,Atropine sulphate injection(600mcg),mcg
528,Atropine sulphate injection(1200mcg),mcg
529,Atropine sulphate injection(2400mcg),tab(s)
530,Cefotaxime injection(1g),g
531,Cefotaxime injection(2g),g
532,Ceftriaxone Injection(2g),g
533,Chloramphenicol injection(2g),g
534,Chlorpromazine HCl injection (25 mg),tab(s)
535,Chlorpromazine HCl injection (50 mg),tab(s)
536,Chlorpromazine HCl injection (100 mg),tab(s)
537,Chlorpromazine HCl injection (200 mg),tab(s)
538,Dexamethasone injection (1 mg),tab(s)
539,Dexamethasone injection (2 mg),tab(s)
540,Dexamethasone injection (4 mg),tab(s)
541,Dexamethasone injection (5 mg),tab(s)
542,Dexamethasone injection (10 mg),tab(s)
543,Diazepam injection (10mg),mg (injection)
544,Diazepam injection (20mg),mg (injection)
545,Diclofenac injection (50mg),mg (injection)
546,Flucloxacillin injection (500 mg),mg (injection)
547,"Frusemide 10mg/ml, 2ml",mg (injection)
548,Gentamicin injection (80mg),mg (injection)
549,Gentamicin injection (160mg),mg (injection)
550,Gentamicin injection (240mg),mg (injection)
551,Heparin 5000u/ml (5ml),iu
552,Hydralazine HCl (2.5ml),mg (injection)
553,Hydralazine HCl (5ml),mg (injection)
554,Hydralazine HCl (10ml),mg (injection)
555,Losartan (25mg tablet),tab(s)
556,Losartan (50mg tablet),tab(s)
557,Losartan (100mg tablet),tab(s)
558,Propranolol (80mg tablet),tab(s)
559,Propranolol (120mg tablet),tab(s)
560,Propranolol (160mg tablet),tab(s)
561,HCTZ (50mg tablet),tab(s)
562,Prednisolone (15mg),tab(s)
563,Prednisolone (30 mg),tab(s)
564,Morphine Sulphate Tablets (15mg),tab(s)
565,Fefol (1 tablet),tablet
566,Acyclovir (500 mg),tab(s)
567,Acyclovir (850 mg),tab(s)
568,Glibenclamide (15mg tablet),tab(s)
569,Hydralazine (100mg tablet),tab(s)
570,Glibenclamide (2.5mg tablet),tab(s)
571,METFORMIN (1000MG),tab(s)
572,D4T+3TC/D4T+3TC+NVP,mg
573,AZT/3TC/NVP (300/150/200mg tablet),tab(s)
574,AZT/3TC/NVP (60/30/50mg tablet),tab(s)
575,ABC/3TC (Abacavir and Lamivudine 60/30mg tablet),tab(s)
576,TDF/3TC (Tenofavir and Lamivudine 300/300mg tablet,tab(s)
577,TDF/3TC/EFV (300/300/600mg tablet),tab(s)
578,AZT/3TC (Zidovudine and Lamivudine 60/30 tablet),tab(s)
579,d4T/3TC (Stavudine Lamivudine 6/30mg tablet),tab(s)
580,d4T/3TC (Stavudine Lamivudine 30/150 tablet),tab(s)
581,LPV/r (Lopinavir and Ritonavir 133/33mg tablet),tab(s)
582,RH (R60/H30),tab(s)
583,Benzathine Benzylpen 1.44g (2.4MU),g
584,Atorvastatin (10mg tablet),tab(s)
585,Baclofen (30mg tablet),tab(s)
586,Bromocriptine (2.5mg tablet),tab(s)
587,Calcium Gluconate (600mg tablet),tab(s)
588,Calcium Sandoze Forte,
589,Cellcept (500mg),tab(s)
590,Coversly (4mg tablet),tab(s)
591,Perisindopril (75mg tablet),tab(s)
592,Cyclophosphamide (50mg tablet),tab(s)
593,Dostinex (0.5mg tablet),tab(s)
594,Doxazosin (4mg tablet),tab(s)
595,Epilim (300mg tablet),tab(s)
596,Haloperidol (2mg tablet),tab(s)
597,Lithium Carbonate (250mg tablet),tab(s)
598,Lithium Carbonate (400mg tablet),tab(s)
599,Lithium Carbonate (600mg tablet),tab(s)
600,Liviferm (2.5mg tablet),tab(s)
601,Levothyroxine Sodium (100mg tablet),tab(s)
602,Lumefantrine + arthemether (30x12),
603,Lumefantrine + arthemether (30x18),
604,Lumefantrine + arthemether (30x24),
605,Lumefantrine + arthemether (30x6),
606,Misoprositol (200ug tablet),UG
607,Sodium Bicarbonate,
608,Gabapentin (100mg tablet),tab(s)
